info:    Executing command vm image list
info:    Fetching VM images
data:    Name                                                                                                                Category                                   OS     
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2012-x64-iis8-v13.4.12.2                                       RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2012-x64-iis8-v13.5                                            RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2012-x64-iis8-v5.8.8.12                                        RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2012-x64-sqlsvr2012-v13.5                                      RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2012-x64-sqlsvr2012ent-v13.5                                   RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2012-x64-v13.4.12.2                                            RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2012-x64-v13.5                                                 RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2012-x64-v5.8.8.12                                             RightScale with Windows Server             Windows
data:    c290a6b031d841e09f2da759bbabe71f__Oracle-Database-121010.v1-EE-Lnx                                                  Oracle                                     Linux  
data:    c290a6b031d841e09f2da759bbabe71f__Oracle-Database-121010.v3-SE-Lnx                                                  Oracle                                     Linux  
data:    c290a6b031d841e09f2da759bbabe71f__Oracle-Linux-6                                                                    Oracle                                     Linux  
data:    c290a6b031d841e09f2da759bbabe71f__WebLogic-Server-12c.v1-Lnx                                                        Oracle                                     Linux  
data:    c6e0f177abd8496e934234bd27f46c5d__SharePoint-2013-Trial-1-7-2014                                                    Microsoft SharePoint Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__Microsoft-SQL-Server-2008R2SP2-Enterprise-CY13SU04-SQL2008-SP2-10.50.4021.0       Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__Microsoft-SQL-Server-2008R2SP2-Standard-CY13SU04-SQL2008-SP2-10.50.4021.0         Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__Microsoft-SQL-Server-2012SP1-CU4-11.0.3368.0-Enterprise-ENU-Win2012               Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__Microsoft-SQL-Server-2012SP1-CU4-11.0.3368.0-Enterprise-ENU-Win2K8R2              Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__Microsoft-SQL-Server-2012SP1-CU4-11.0.3368.0-Standard-ENU-Win2012                 Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__Microsoft-SQL-Server-2012SP1-Enterprise-CY13SU04-SQL11-SP1-CU3-11.0.3350.0-B      Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__Microsoft-SQL-Server-2012SP1-Enterprise-CY13SU04-SQL2012-SP1-11.0.3350.0-Win2012  Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__Microsoft-SQL-Server-2012SP1-Standard-CY13SU04-SQL11-SP1-CU3-11.0.3350.0-B        Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__Microsoft-SQL-Server-2012SP1-Standard-CY13SU04-SQL2012-SP1-11.0.3350.0-Win2012    Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__Microsoft-SQL-Server-2012SP1-Web-CY13SU04-SQL11-SP1-CU3-11.0.3350.0               Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__SQL-Server-2008R2SP2-GDR-10.50.4021.0-Enterprise-ENU-Win2K8R2-CY13SU10            Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__SQL-Server-2008R2SP2-GDR-10.50.4021.0-Enterprise-ENU-Win2K8R2-CY13SU12            Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__SQL-Server-2008R2SP2-GDR-10.50.4021.0-Standard-ENU-Win2K8R2-CY13SU10              Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__SQL-Server-2008R2SP2-GDR-10.50.4021.0-Standard-ENU-Win2K8R2-CY13SU12              Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__SQL-Server-2008R2SP2-GDR-10.50.4021.0-Web-ENU-Win2K8R2                            Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__SQL-Server-2008R2SP2-GDR-10.50.4021.0-Web-ENU-Win2K8R2-CY13SU10                   Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__SQL-Server-2008R2SP2-GDR-10.50.4021.0-Web-ENU-Win2K8R2-CY13SU12                   Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__SQL-Server-2012SP1-CU5-11.0.3373.0-DataWarehousing-ENU-WS2012                     Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__SQL-Server-2012SP1-CU5-11.0.3373.0-DataWarehousing-ENU-WS2012-CY13SU12            Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__SQL-Server-2012SP1-CU5-11.0.3373.0-Enterprise-ENU-WS2008R2-CY13SU10               Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__SQL-Server-2012SP1-CU5-11.0.3373.0-Enterprise-ENU-Win2012                         Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__SQL-Server-2012SP1-CU5-11.0.3373.0-Enterprise-ENU-Win2012-CY13SU10                Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__SQL-Server-2012SP1-CU5-11.0.3373.0-Enterprise-ENU-Win2012-CY13SU12                Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__SQL-Server-2012SP1-CU5-11.0.3373.0-Enterprise-ENU-Win2K8R2-CY13SU12               Microsoft SQL Server Group                 Windows
data:    fb83b3509582419d99629ce476bcb5c8__SQL-Server-2012SP1-CU5-11.0.3373.0-Standard-ENU-WS2008R2                          Microsoft SQL Server Group                 Windows
